glottocode,name,replacement,relation
kurd1242,Kurdish Iranian,kurd1259,
boli1257,Bolivian Quechua IIC,boli1262,
mara1377,Marathic,mara1416,
peri1255,Peripheral Kuki-Chin,peri1260,
ferg1236,Fer-Gula-Koto,ferg1237,
miya1256,Miyan,waka1283,
seda1261,Sedang-Todrah,hres1236,
karn1251,Karnic,karn1253,
pami1246,Pamir,sout3156,
sayh1235,Sayhadic,sayh1236,
uncl1438,Unclassified Narrow Bantu,lega1252,
wahg1250,Wahgi,wahg1249,
hani1238,Hani-Akha,haya1251,
east2448,East Uvean-Niuafo'ou,east2758,
itne1251,Itneg,itne1252,
uncl1441,Unclassified Bantoid,bant1294,
ibal1243,Ibaloy,nucl1542,
bhil1250,Bhil,bhil1254,
loho1237,Lohorung,loho1238,
boba1245,Bobangic Riverain,boba1249,
angl1259,Anglo-Frisian,angl1264,
nisu1236,Nisu,nisu1238,
narr1266,Narrow Bantu R,here1254,
west2708,West Chadic,west2785,
baus1238,Baushi-Gurmana,shir1275,
kank1242,Kankanay,kank1245,
east2471,East Extra-Ramelaic,timo1259,
mong1341,Mongondowic,mong1346,
nucl1681,Nuclear Mandara,mand1472,
boli1259,Bolivia-Parana,boli1260,
west2553,West Bisayan,west2820,
sina1265,Sinagoro-Keapara,sina1272,
west2589,Western Huon,west2795,
nort2874,Northern Luzon,nort3159,
masa1298,Masaba-Luyia (J.30)-Luyia,grea1291,
caga1235,Cagayan Valley,iban1268,
east2510,Eastern Huon,east2705,
nort3093,Northwest Semitic,nort3165,
gurm1245,Gurma,gurm1249,
hind1268,Hindustani,hind1270,
mbam1251,Mbam,mbam1252,
geor1251,Georgian,geor1253,
high1269,Highest Alemannic,alem1243,
mela1254,Melanau-Kajang,mela1258,
iwam1255,Iwamic,iwam1260,
burm1261,Burmese,nucl1730,
west2464,Western Grusi,west2837,
born1253,Borneo Malay,born1255,
kaya1321,Kayan-Kenyah,kaya1332,
west2568,Western Munic,west2847,
guwa1240,Guwa-Maric,mari1445,
sara1316,Sara-Bongo-Bagirmi,sara1341,
kira1247,Kiranti,kira1253,
cent2107,Central Sepik Hill,cent2234,
sard1255,Sardinian,sard1257,
sout2720,Southeastern Ngwi,sout3169,
bagi1245,Bagirmic,bagi1247,
masa1321,Masa,masa1323,
lezg1246,Lezgic,lezg1248,
tani1254,Tani,tani1259,
sout2860,South East Santo,east2754,
east2435,East Borneo Malay,east2755,
mand1430,Mande,mand1469,
cont1244,Continental Celtic,celt1248,
nort2893,North Sarawakan,nort3171,
otom1298,Otomi,otom1300,
utoa1243,Uto-Aztecan,utoa1244,
mala1478,Malayic,mala1538,
sbbo1235,SBB Occidental-Yulu,nucl1719,
ngir1242,Ngiri Riverain,ngir1249,
lisu1249,Lisuic,liso1234,
sula1244,Sula-Taliabo,buru1321,
lund1270,Lundu-Balong (A.10),lund1274,
grea1274,Greater Barito,grea1283,
beta1251,Betawic,beta1260,
nort2876,North Central Cordilleran,nort3240,classification update
cent2082,Central Cordilleran,nort3240,classification update
tami1296,Tamiloid,tami1299,classification update
palu1251,Palula,west2860,classification update
bont1245,Bontok-Kankanay,bont1246,classification update
ngad1264,Ngada,ngad1267,classification update
umbu1255,Umbugarla-Ngurmbur,umbu1259,classification update
dirs1235,Dir-Swat Kohistani,dirs1236,classification update
tolo1258,Tolowa-Chetco,oreg1242,classification update
mpot1242,Mpoto-Yao,rufi1235,classification update
kami1260,Kami-Gupa,kami1261,classification update
elli1238,Ellicean,elli1239,classification update
nort3162,Northern Lushootseed-Puget,lush1251,classification update
kupa1240,Kupa-Kakanda,kami1261,classification update
bari1289,Barijian,yare1251,classification update
kash1281,Kashibo,main1279,classification update
miss1253,Mississppi Valley-Ohio Valley Siouan,core1249,classification update
bunu1264,Bunu (Hmong-Mien),hmon1337,classification update
bari1285,Bariaic,nger1240,classification update
kati1276,Katio,atra1235,classification update
core1247,Core Thura Yura,core1260,classification update
poqo1252,Poqom-Quichean,grea1276,classification update
pidg1250,Pidgin,pidg1258,classification update
alta1278,Alta,meso1254,classification update
glav1243,Glavda-Guduf,mand1472,classification update
ksin1236,Ksingmul-Pramic,phay1242,classification update
laba1240,Laba-Loloda,gale1261,classification update
nort2989,Northern Western Tucanoan,core1261,classification update
newi1241,New Ireland-Northwest Solomonic,newi1242,classification update
bium1269,Biu-Mandara A A.2 1,bura1297,classification update
nava1244,Navahaq-Nati,peri1262,classification update
mila1244,Milang (Damu),mila1245,
tang1337,Tangam,tang1377,
ngue1241,Ng|u|en,ngue1242,
jiar1239,Gyalrong,jiar1240,
nepa1252,Nepali,nepa1254,
here1254,Herero-Nkumbi-Wambo,kune1234,classification update
beli1259,Belizean Creole,beli1260,duplicate
gren1246,Grenadian Creole English,gren1247,duplicate
east2302,East Scandinavian,nort3160,classification update
sylh1243,Sylhetti,beng1280,classification update
malp1247,Mal Paharia,beng1280,classification update
sout2740,South Chinese,sini1245,classification update
east2317,Eastern Bengali,beng1280,classification update
rajb1242,Rajbanshi (Bengali),beng1280,classification update
ping1244,Pinghua,sini1245,classification update
araw1285,Arawan (Unattested),unat1236,classification update
sout3215,Southern Ju,juku1256,classification update
sign1237,Sign Languages,sign1238,classification update
uncl1433,Unclassified Core Thura-Yura,core1260,classification update
noga1251,Nogau,kxau1241,classification update
aust1308,Austronesian (Unattested),unat1236,classification update
nucl1330,Nuclear Worora,woro1255,classification update
rung1261,Rungwa-Wanda-Nyamwanga,mwik1240,classification update
pama1252,Pama-Nyungan (Unattested),unat1236,classification update
koib1245,Koibal,kama1351,classification update
picu1240,Picuris,nort1550,classification update
mboh1235,Mboh,kaya1333,classification update
choc1281,Chocoan (Unattested),unat1236,classification update
tart1242,Tartu,sout2679,classification update
uncl1445,Unclassified Barbacoan,barb1265,classification update
uncl1444,Unclassified Huitotoan,huit1251,classification update
chit1276,Chittagonian,beng1280,classification update
kaya1323,Kayan Proper,kaya1333,classification update
pala1335,Palaung-Riang,pala1352,classification update
uncl1479,Unclassified Goemaic,anga1311,classification update
uncl1471,Unclassified Bihari,biha1245,classification update
uncl1477,Unclassified Lisoid,liso1234,classification update
araw1284,Arawakan (Unattested),unat1236,classification update
loha1239,Lohari-Malpaharia,beng1280,classification update
lowl1243,Lowland-Sierra Central Totonacan,cent1397,classification update
mang1432,Mangarrayi-Maran (Unattested),unat1236,classification update
nucl1284,Nuclear Oriya,macr1269,classification update
uncl1492,Unclassified Eastern Malakula linkage,east2753,classification update
uncl1486,Unclassified Sinitic,sini1245,classification update
uncl1485,Unclassified Nasu-Gepu,nasu1237,classification update
nort2679,Northern Chong,west2394,classification update
kose1240,Kosena-Awiyaana,auya1234,classification update
kama1377,Kamassic,kama1376,classification update
lada1243,Ladakhic,lada1242,classification update
afro1256,Afro-Asiatic (Unattested),unat1236,classification update
sout2665,Southwestern Bengali,beng1280,classification update
west2782,Western,nyul1248,classification update
tran1289,Transalpine-Galatian Celtic,tgbc1234,classification update
iwai1247,Iwaidjan Proper (Unattested),unat1236,classification update
nort1553,Northern Central Totonacan,cent1397,classification update
fipa1239,Fipa-Mambwe-Lungu,mwik1240,classification update
sout2718,Southwestern Tamang,nucl1308,
aram1252,Aramanik,nand1266,
kisa1264,Kisankasa,nand1266,
gall1274,Gallo-Rhaetian,gall1280,
czec1257,Czech-Slovak,czec1260,
nucl1361,Nuclear Ngbandic,nucl1737,
tsha1243,Tshangla-East Bodish,tsha1246,
cent2056,Central-Eastern Oceanic,ocea1241,
fini1242,Finisterre-Huon,fini1244,
narr1273,Narrow Bantu N,east2731,
west2776,Western Caribbean,west2854,
zaar1252,Zaar,sout3162,
nort2737,Northern Tai,nort3189,
nort2712,Northern Loloish,lolo1265,
nucl1278,Nuclear Himachali,nucl1728,
aust1302,Austroasiatic,aust1305,
yare1247,Yareban,yare1250,
wenm1238,Wenma-Southwestern Tai,sout3184,
gaud1236,Gauda-Kamrupa,gaud1237,
benu1245,Benue-Congo Central Plateau,benu1249,
mixe1243,Mixed Language,mixe1285,
west2457,Western Ngbaka,west2836,
nasu1235,Nasu,lolo1265,
maha1293,Mahakiranti,maha1306,
remo1246,Remote Oceanic,ocea1241,
hmon1330,Hmongic,nucl1720,
bira1251,Bira-Huku (D.30),narr1281,
nort2616,Northumbrian,angl1265,
toro1254,Tor-Orya,tora1268,
west2498,Western Mande,west2780,
sora1253,Sora-Juray,sora1256,
daga1271,Dagaari,daga1276,
west2395,West Palaungic,west2791,
east2651,East Cushitic,east2699,
span1266,Spanish,cast1243,
urup1243,Urupa-Wanham,wari1269,
volt1240,Volta-Congo,volt1241,
kinn1248,Kinnauric,kinn1250,
mabu1246,Mabuan,croi1234,
mamb1300,Mambiloid,konj1251,
subg1262,Subgroup VI,tupi1276,
iran1238,Iranian,iran1269,
lalo1238,Lalo,lalo1240,
nort2771,North Volta-Congo,nort3149,
pale1253,Palei,wape1248,
west2374,Western Pahari,hima1250,
nort2792,North-Central Edoid,nort3182,
west1478,West Low German,west2793,
shin1263,Shinaic,shin1268,
quec1385,Quechua IIC,quec1389,
tibo1241,Tiboran,tibo1243,
narr1263,Narrow Bantu H,cent2260,
ibat1237,Ibatan-Ivatan,mala1535,
huns1238,Hunsrückisch,west2823,
subg1260,Subgroup I,tupi1277,
weee1242,Wee,weea1234,
arap1272,Arapesh,arap1279,
cent2148,Central Tucanoan,east2698,
sout2759,South-West,pama1250,
east2437,Eastern Malayo-Polynesian,ocea1241,
akwe1238,Akweya,etul1244,
bena1261,Bena-Kinga (G.60),sout3185,
sout2901,Southern Sangiric,sout3155,
cent2099,Central Dusunic,kada1292,
muru1271,Murut,sout3154,
emua1240,Emuan,soge1234,
grea1270,Greater Bodo,sino1245,
raja1253,Raja Ampat,raja1257,
moza1248,Mozabite-Wargla,moza1250,
tlap1251,Tlapanec-Manguean,tlap1252,
moro1283,Morokodo-Mo'da,moro1293,
angl1260,Anglic,angl1265,
zigu1241,Zigula-Zaramo (G.30),ruvu1235,
macr1263,Macro-Tuscan,roma1334,
sout2615,Southern Italian,ital1287,
miju1242,Mijuic,sino1245,
sera1263,Seram,east2466,
sepi1254,Sepik Hill,sepi1258,
berb1254,Berber,berb1260,
lowe1424,Lower Ramu,lowe1439,
adam1256,Adamawa,adam1259,
cent2096,Central Lower Baram B,cent2273,
bont1243,Bontok-Kankanay,bont1245,
anga1310,Angas Proper 1,west2717,
kaja1249,Kajang,kaja1255,
band1338,Bandjalangic,band1357,
cent2075,Central Maluku,cent2254,
amer1239,Amerindian pidgin,pidg1250,
cent2010,Central-Southwestern Tai,wenm1239,
tung1283,Tungus,tung1282,
bisa1263,Bisa,bisa1262,
nort2840,Northern New Caledonian,nort3211,
nyoo1238,Nyo,nyoa1234,
huas1254,Huasteca Nahuatl,huas1257,
core1250,Core Mayan,core1254,
nucl1443,Nuclear Samogo-Soninke,nucl1721,
nung1281,Nungish,nung1293,
lolo1258,Loloish,lolo1266,
bodo1268,Bodo-Koch,bodo1279,
bang1352,Bangi-Ntomba (C.40),cent2260,
nort2615,North Sea Germanic,nort3175,
ormu1246,Ormuri-Parachi,ormu1249,
west2449,Western Nubian,west2781,
ngir1241,Ngiri,ngir1248,
chol1280,Cholan,chol1287,
male1287,Malekula Central,mala1539,
guja1251,Gujaratic,guja1256,
pano1253,Pano Nawa,pano1257,
choc1277,Chocoan,choc1280,
taly1246,Talyshic,tati1243,
thre1237,Three Rivers,thre1238,
konk1266,Konkanic,konk1270,
juku1252,Jukun-Mbembe-Wurbo,juku1258,
pama1249,Paman,pama1251,
sout2707,South Dravidian I,sout3138,
nucl1316,Nuclear Western Tani,nucl1731,
pait1246,Paitanic,pait1248,
nort1513,Northwestern Iranian,nort3177,
mala1486,Malaita,mala1542,
indi1258,Indian Ocean French Creole,macr1273,
wikk1238,Wik,wika1239,
sena1263,Sena,sena1269,
narr1275,Narrow Bantu A,narr1281,
bira1252,Bira,komo1265,
west2483,West Mbam (A.40),west2826,
west2575,West Timor-Alor-Pantar,alor1249,
kxaa1235,Kxa,kxaa1236,
sout2870,South New Ireland-Northwest Solomonic,stge1234,
kele1254,Kele (C.60),kele1261,
fren1276,French,oila1234,
arab1392,Arabic,arab1395,
semi1275,Semitic,west2786,
gela1260,Gelaoic,gela1265,
east2514,East-Central,goro1272,
mang1395,Mangbutu-Efe,mang1425,
sout2843,Southeastern Mande,sout3140,
nort2726,North Peripheral Kuki-Chin,nort3179,
lati1258,Latino-Faliscan,roma1334,
bash1266,Bashiic,mala1535,
khar1286,Kharia-Juang,sout3137,
west2758,West Semitic,west2786,
indo1307,Indo-European,indo1319,
isth1239,Isthmus Nahuatl,isth1245,
lowe1422,Lower Sepik-Ramu,lowe1437,
rhae1240,Rhaeto-Romance,gall1280,
cata1282,Catalan,sout3183,
cent1958,Central Catalan,sout3183,
dual1242,Duala (A.20),narr1281,
elem1255,Eleman,nucl1580,
east2356,Eastern Kiranti,east2719,
west2495,Western Kadugli-Krongo,kadu1256,
ethi1243,Ethiosemitic,ethi1244,
amam1244,Amami,amam1245,
sout2914,South Central Manobo,cent2088,
nort2982,Northern Nambiquaran,nort3153,
uncl1423,Unclassified Indo-Europoean,indo1319,
east2467,East Piru Bay,east2752,
east2305,Eastern Iranian,east2704,
mbum1252,Mbum-Day,mbum1256,
nyik1245,Nyika-Safwa (M.20),corr1234,
gond1264,Gondi,gond1265,
cent2095,Central Lower Baram A,cent2272,
sara1317,Saraic,sara1343,
kuta1243,Kutai,sout3190,
ngba1281,Ngbandi,nucl1737,
patp1242,Patpatar-Tolai,stge1234,
east2292,East Low German,lows1234,
east2442,East Vanuatu,nort3195,
mada1288,Madang,mada1298,
grea1273,Greater Central Philippine,grea1284,
drav1250,Dravidian,drav1251,
jose1245,Josephstaal,sout3148,
newi1240,New Ireland,meso1253,
mamb1301,Mambila-Konja,konj1251,
east2412,Eastern Beboid,east2730,
sira1265,Sira (B.40),sira1268,
sout2627,South Asian English,pidg1250,
gadd1243,Gaddangic,gadd1245,
core1248,Core Bidayuh,bida1237,
gads1257,Gadsup-Auyana-Awa,gauw1234,
hmwa1242,Hmwavekic,nort3211,
west2366,West Scandinavian,west2805,
cent2006,Central Kiranti,cent2250,
mala1476,Malayo-Polynesian,mala1535,
kuri1258,Kuria (E.10),nyan1318,
wurb1238,Wurbo,wurb1239,
kwil1236,Kwilu-Nsong,kwil1237,
maka1303,Makaa-Njem (A.80),ndze1234,
sout2862,South Southern New Caledonian,sout3189,
ngba1282,Ngbaka-Mba,ngba1291,
indo1313,Indo-Aryan Eastern zone,indo1323,
wape1247,Wapei,wape1248,
mono1272,Mono-Uruava,stge1234,
atla1268,Atlantic-Congo,volt1241,
narr1262,Narrow Bantu G,east2731,
monz1248,Monzomboic,monz1253,
east2646,East Chadic A A.2 2,east2722,
uncl1447,Unclassified Eastern Tucanoan,tuca1253,
clus1235,Cluster,sign1236,
manu1257,Manusela-Seti,east2466,
biyu1235,Biyue-Kadue,bika1252,
uncl1425,Unclassified Northwestern Iranian,west2794,
marq1244,Marquesic,cent2062,
samo1304,Samoic-Outlier,nucl1485,
ngir1246,Ngiri Terrien,ngir1250,
poto1249,Potou-Tano,poto1254,
nyul1246,Nyulnyulic,nyul1249,
nucl1601,Nuclear Trans New Guinea,nucl1709,
uncl1428,Unclassified Indo-Aryan Eastern zone,indo1321,
bant1283,Bantoid,sout3152,
oriy1253,Oriya,indo1323,
sout2643,Southwestern Iranian,sout3157,
mbum1253,Mbumic,mbum1257,
east2636,East Chadic B B.1 1,east2633,
subg1263,Subgroup VIII,tupi1276,
sout2798,South-Central Benue-Congo Plateau,sout3163,
bium1273,Biu-Mandara A A.4,nort3156,
west2569,West Buton,buto1237,
nemi1239,Nemic,nort3211,
west2455,Western Tano,west2816,
coas1291,Coastal Southwest Paman,coas1313,
matu1258,Matumbi (P.10),rufi1236,
nyor1245,Nyoro-Ganda (J.10),grea1289,
lega1247,Lega-Kalanga (D.20),narr1281,
main1278,Mainline Pano,pano1257,
yuca1251,Yucatecan-Core Mayan,yuca1255,
maya1283,Mayan,yuca1255,
guug1239,Guugu Yimidhirr,pama1250,
cent2057,Central Vanuatu,cent2269,
amdo1236,Amdo,west2796,
mber1256,Mbere (B.60),mber1262,
narr1272,Narrow Bantu K,narr1281,
benu1243,Benue-Congo,benu1247,
samo1301,Samogo,samo1309,
sout2806,Southern Bantoid,sout3152,
nyil1238,Nyilamba-Langi (F.30),east2731,
marw1255,Marwari,raja1256,
ocea1240,Oceanic,ocea1241,
indo1309,Indo-Aryan,indo1321,
boba1244,Bobangic,boba1248,
kada1280,Kadaic,kada1291,
mell1239,Mel,mela1257,
east2480,Eastern Subanon,suba1253,
mand1424,Manda (N.10),east2731,
fren1277,French Creole,macr1273,
mixe1281,Mixe-Zoque,mixe1284,
more1261,More,chap1271,
ngan1294,Ngandi-Nunggubuyu,gunw1253,
bura1275,Burate-Wate,bura1294,
sala1267,Salampasu-Ndembo (K.30),ruun1239,
naga1401,Naga Coastal Bikol,inag1234,
mirn1242,Mirning,mirn1243,
beta1250,Be-Tai,daic1237,
gall1272,Gallo-Romance,shif1234,
narr1271,Narrow Bantu J,grea1289,
mund1319,Mundari-Munda,homu1234,
narr1268,Narrow Bantu F,east2731,
hima1237,Himachali,hima1250,
bida1236,Bidayuh,bida1237,
nort2680,North Munda,kher1245,
left1241,Left Bank,kwav1236,
njeb1241,Njebi (B.50),njeb1244,
sout2733,South Peripheral Kuki-Chin,sout3160,
uppe1416,Upper Southwest Paman,uppe1456,
haya1249,Haya-Jita (J.20),grea1289,
indo1315,Indo-Aryan Northwestern zone,indo1324,
cent2147,Central Eastern Tucanoan,east2698,
west2484,Western Beboid,sout3152,
cari1282,Caribbean English Creole,cari1284,
laha1248,Lahauli-Spiti,laha1255,
siza1238,Sizangic,siza1239,
kora1288,Koraput Munda,sout3137,
taik1240,Tai-Kadai,taik1256,
tuca1251,Tucanoan,tuca1253,
west2593,Western Ok,okkk1242,
west1485,West Slavic,west2792,
mara1383,Maran,mara1414,
hote1243,Hote-Buang,sout2878,
sout2851,South Halmahera,sout2850,
west2480,Western Momo,wide1239,
lolo1257,Lolo-Burmese,lolo1265,
macr1261,Macro-Portuguese,macr1272,
grea1269,Greater Yakkha,grea1285,
akha1244,Akhaic,akha1246,
nucl1455,Nuclear Angan,anga1289,
temn1244,Temnic,atla1278,
zire1239,Zire-Tiri,sout3189,
waiw1243,Waiwaian,waiw1245,
slav1252,Slavic,slav1255,
west2522,West New Georgia,west2857,
cros1243,Cross River,benu1247,
omet1236,Ometo,omet1238,
west2467,West-Central Benue-Congo Plateau,benu1248,
pant1256,Pantar,alor1249,
daic1236,Daic,daic1237,
nucl1591,Nuclear Arapesh,arap1279,
sout2801,Southwestern Benue-Congo Plateau,benu1248,
nort2650,Northeastern Iranian,nort3176,
moun1251,Mountain Ok,moun1253,
kala1396,Kalam-Kobon,kala1404,
bodi1249,Bodic,bodi1254,
sino1244,Sino-Tibetan,sino1245,
roin1237,Roinji-Nenaya,belr1234,
enya1246,Enya (D.10),enya1248,
baba1271,Babar,baba1274,
bebo1241,Beboid,bebo1243,
mand1441,Mandayan,east2477,
benu1244,Benue-Congo Plateau,benu1248,
kuki1244,Kuki-Chin,kuki1246,
mbos1241,Mbosi (C.30),cent2260,
taro1262,Tarokoid,taro1265,
sout2775,Southern Atlantic,atla1278,
nana1256,Nanai-Ulch,orok1264,
boka1248,Bokar-Nuclear Western Tani,boka1252,
sout2852,Southeast South Halmahera,cent2270,
inla1261,Inland Bikol,inla1266,
piru1242,Piru Bay,piru1243,
nucl1308,Nuclear Tamang,nucl1729,
isum1241,Isumrud,mada1298,
sign1235,Sign Languages,sign1236,
tupi1271,Tupi-Guarani,tupi1276,
mara1384,Mara-Warndarang,mara1415,
suku1260,Sukuma-Nyamwezi (F.20),suku1274,
high1240,High German,high1286,
west2709,West Chadic B,west2790,
narr1277,Narrow Grassfields,narr1282,
gavi1249,Gaviao-Zoro-Arua,gavi1248,classification update
cent2249,Central Bodish,cent2295,classification update
bodi1255,Bodish,bodi1257,classification update
sara1343,Saraic,sara1349,classification update
bodi1254,Bodic,bodi1256,classification update
mang1427,Manggarai-Rembong-Komodo,mang1430,classification update
brah1259,Brahmaputran,brah1260,classification update
bara1402,Bara,bara1401,classification update
brok1251,Brokeh-Meyor,sino1245,classification update
uncl1465,Unclassified Sinitic,uncl1486,classification update
nucl1745,Nuclear Cordilleran,nucl1754,classification update
mala1535,Malayo-Polynesian,mala1545,classification update
gauw1234,Gauwa,gauw1235,classification update
lolo1266,Loloish,lolo1267,classification update
shin1268,Shinaic,shin1270,classification update
nort3166,North Ethiopic,ethi1244,classification update
aust1306,Austronesian,mala1545,classification update
tomb1247,Tombonuo-Dumpas,grea1293,classification update
lows1234,Low Saxon,lowg1239,classification update
gras1251,Grass,lowe1437,classification update
nucl1721,Nuclear Samogo-Soninke,samo1308,classification update
ebir1242,Ebira-Gade,nupo1239,classification update
bisa1269,Bisaya,sout3154,classification update
nupe1259,Nupe,nupe1258,classification update
nort3173,Northern Cordilleran,mala1545,classification update
duru1250,Durubal-Bandjalang,pama1250,classification update
gend1250,Gende-Isabi,goro1272,classification update
sout3199,Southeastern Oil,oila1234,classification update
sout2799,Southern Benue-Congo Plateau,jili1243,classification update
nort3054,Northeastern Berber,berb1260,classification update
utsa1240,U-Tsang,oldm1245,classification update
koiw1242,Koiwat-Boikin,nucl1642,classification update
sign1236,Sign Languages,sign1237,classification update
duru1247,Durubulic,east2770,classification update
nucl1314,Nuclear Mara,nucl1757,classification update
uncl1491,Unclassified,uncl1493,classification update
nort2681,North Aslian-Jah Hut,cent1987,classification update
yuat1250,Yuat-Maramba,yuat1252,classification update
rgya1239,Gyalrongic,rgya1241,classification update
ngeq1244,Ngeqic,taoi1247,classification update
subg1261,Subgroup III,tupi1287,classification update
west2819,West New Guinea,cend1238,classification update
laht1235,Lahta-Zayein,nort2703,classification update
vill1243,Village Sign Language,vill1244,classification update
kuku1287,Kuku,pama1253,classification update
boka1247,Bokar,boka1249,
caod1238,Tshobdun,tsho1240,
mull1246,Muller-Schwaner 'Punan',nort3253,classification update
ofai1234,Ofaie,nucl1710,classification update
maip1248,Maipure-Yavitero,nort2990,classification update
uncl1449,Unclassified Northern Maipuran,nort2990,classification update
uncl1487,Unclassified Shona (S. 10),shon1250,classification update
ngan1307,Ngando-Lalia,lomo1242,classification update
tete1253,Tetela-Hamba,tete1254,classification update
makh1267,Makhua-Nyanja (Mixed Language),lomw1242,classification update
herb1234,Herbert River,pama1250,classification update
cent2278,Central Teke,teke1283,classification update
kusu1254,Kusu-Nkutsu,nkut1239,classification update
fran1261,Franc-Comtois,fran1262,duplicate
trin1275,Trinidadian Creole English,trin1276,duplicate
nica1251,Nicaraguan Creole English,nica1252,duplicate
sran1239,Sranan,sran1240,duplicate
moli1249,Molise-SKB,west2804,classification update
nucl1291,Nuclear Palaung,west2791,classification update
toch1256,Tochoic,narr1279,classification update
uncl1459,Unclassified Dravidian,drav1251,classification update
nucl1517,Nuclear Lamboya,lamb1273,classification update
gban1257,Gbanzili,west2836,classification update
zaza1244,Zaza-Gorani,nort3177,classification update
mbum1256,Mbum-Day,nort3149,classification update
tido1249,Tidongic,suma1273,classification update
kayk1238,Kaykavski,croa1245,classification update
uncl1435,Unclassified Mbum,mbum1257,classification update
nort3176,Northeastern Iranian,iran1269,classification update
aust1309,Austronesian (Unclassifiable),uncl1493,classification update
ngga1240,Nggaro,kodi1247,classification update
adam1259,Adamawa,nort3149,classification update
adam1258,Adamawa-Ubangi,nort3149,classification update
kott1238,Kott-Assan,sout2751,classification update
core1257,Core Samoyedic,samo1298,classification update
sira1268,Sira (B.40),cent2260,classification update
uncl1457,Unclassified South Cushitic,sout3054,classification update
uncl1446,Unclassified Chapakura,chap1271,classification update
neve1234,Neve'ei-Naman,mala1539,classification update
efut1243,Efutop-Ekajuk,ejag1240,classification update
indo1330,Indo-European (Unclassifiable),uncl1493,classification update
uncl1478,Unclassified Boleic,bole1261,classification update
uncl1473,Unclassified Tharu,thar1284,classification update
uncl1476,Unclassified Tatic,tati1244,classification update
mexi1247,Mexican Sign,span1269,classification update
nupe1258,Nupe-Kupa,nupe1252,classification update
uncl1466,Unclassified Benue-Congo,benu1247,classification update
uncl1461,Unclassified Volta-Congo,volt1241,classification update
east2704,Eastern Iranian,iran1269,classification update
smal1242,Small Nambas,mala1539,classification update
sono1246,Sonoran (Unclassifiable),uncl1493,classification update
uncl1490,Unclassified Shan,shan1276,classification update
uncl1495,Unclassified Japura-Colombia,japu1236,classification update
saga1264,Sagara,tene1248,classification update
marr1239,Marridan,mari1424,classification update
uncl1483,Unclassified Ngendan,ngen1255,classification update
uncl1482,Unclassified Ngiri,ngir1248,classification update
uncl1489,Unclassified Rufijic,rufi1236,classification update
nupe1260,Nupe-Dibo,nupe1252,classification update
afro1257,Afro-Asiatic (Unclassifiable),uncl1493,classification update
nucl1718,Nuclear Waiwaian,waiw1245,classification update
laad1234,Laadic,core1256,classification update
shas1265,Shastan (Unclassifiable),uncl1493,classification update
kalk1247,Kalkatungic (Unclassifiable),uncl1493,classification update
fogn1234,Fogny-Gusilay-Banjal,bakk1238,classification update
ejag1241,Ejagham-Etung,ejag1240,classification update
nort2638,Northern Swedish,swed1254,classification update
nisu1235,Nisu-Nyisu,nisu1237,
uncl1429,Unclassified Indo-Aryan Southern zone,indo1325,
jmas1235,J-Masaba-Luyia (J.30),saam1284,
east2484,East-Malagasy Greater Barito,mala1537,
mong1335,Mongo (C.70),vieu1234,
west2642,Western Otomanguean,west2783,
fula1263,Fulani-Wolof,peul1234,
mang1412,Manguean,mang1426,
kada1281,Kadaru-Ghulfan,east2715,
oghu1242,Oghuz-Kipchak-Uyghur,oghu1246,
baag1243,Baagandji,yarl1237,
daba1259,Daba,bium1274,
cent2149,Central Maipuran,cent2226,
tibe1273,Tibeto-Kanauri,tibe1275,
midl1240,Midland Mixe,midl1241,
west2481,West Ring,west2835,
anun1235,Anung-Nusu,guno1235,
tong1319,Tongwe (F.10),mwik1240,
dogo1298,Dogon,dogo1299,
yukp1240,Yukpan,yukp1242,
mane1263,Manenkan,mane1267,
yuat1251,Yuat,yuat1250,
kann1254,Kannadoid,kann1259,
barb1264,Barbacoan,barb1265,
nort2791,Northern Jos,josa1234,
east2537,Eastern Nahuatl,east2720,
wara1291,Wara-Natioro,samu1243,
lech1240,Lechitic,lech1241,
west2511,West Santo,west2845,
misu1241,Misumalpan,misu1242,
soth1249,Sotho,soth1252,
bafi1242,Bafia (A.50),bafi1244,
yand1254,Yandang,yand1260,
nort2789,Northwestern Benue-Congo Plateau,nort3184,
bahi1253,Bahinemic,bahi1255,
lahn1240,Lahnda,lahn1241,
bain1262,Baining,bain1263,
nort3099,North Ethiopic,nort3166,
utsa1238,U-Tsang,utsa1240,
juku1253,Jukun,juku1259,
subi1245,Subia (K.50),west2834,
khas1267,Khasi-Palaung,khas1273,
hebr1244,Hebrewic,hebr1246,
nort2768,North Guang,nort3204,
burm1259,Burmo-Qiangic,burm1265,
nucl1498,Nuclear Papuan Tip,nucl1744,
west2425,Western Tani,west2797,
nort2733,Northern Chinese,nort3155,
east2483,East Greater Barito,east2713,
uncl1430,Unclassified Dravidian,uncl1459,
isna1240,Isnag-Adasen,caga1241,
geor1250,Georgian-Zan,geor1252,
neng1239,Nengee,suri1272,
manu1256,Manus,manu1262,
yape1247,Yapen,yape1249,
ghal1245,Ghale-Tamangic,ghal1247,
nupe1253,Nupe,nupe1259,
land1258,Land Dayak,land1261,
cheh1244,Chehalis,tsam1241,
lowl1262,Lowland-Midland Mixe,lowl1269,
ngir1245,Ngiri Riverain Mongala,ngir1251,
hyam1244,Hyamic,hyam1246,
tete1249,Tetela (C.80),grea1286,
