glottocode,name,replacement,relation
sout2742,Southwestern Tai,sout3184,
tusc1255,Tuscan,roma1334,
tend1238,Tenda,tend1239,
mose1240,Moselle Franconian,high1287,
tigr1269,Tigre-Dahalik,tigr1277,
meid1235,Meidob-Kordofan,west2781,
nort2854,Northern Nuclear Bel,nucl1510,
ital1281,Italo-Romance,roma1334,
maka1314,Makasai-Alor-Pantar,alor1249,
kaur1270,Kaure-Narau-Kosare,kaur1272,
nile1237,Nile Nubian,nubi1251,
bisa1267,Bisaya,bisa1269,
atla1277,Atlantic French Creole,circ1240,
tagw1239,Tagwana-Djimini,sout3153,
uygh1239,Uyghur,uygh1240,
sout1538,Southeastern Tati,nort3177,
tatt1242,Tat,west2794,
leko1245,Leko-Nimbari,samb1322,
kewa1248,Kewa,kewa1250,
chap1268,Chapakyra-y,wari1269,
kamb1296,Kambari,kamb1317,
maim1250,Maimai,nucl1708,
dutc1255,Dutch Low Saxon,lows1234,
ripu1235,Ripuarian,high1287,
sini1241,Sinitic,sini1244,
sout2970,Southern Uto-Aztecan,sout3136,
sout2600,South Slavic,sout3147,
koto1262,Kotoko,nort3156,
east2298,Eastern Franconian,high1287,
yaka1268,Yaka (H.30),cent2260,
yuku1242,Yukuben-Kuteb,benu1247,
subg1242,Subgroup IV,tupi1279,
nort3143,Northeastern Caribbean,gull1243,
timo1256,Timor,cent2245,
nucl1589,Nuclear Torricelli,nucl1708,
ngba1283,Ngbakaic,ngba1292,
wail1243,Wailic,sout3189,
hala1251,Halang-Kayong,jehh1244,
oldk1251,Old Kuki,oldk1252,
acha1248,Achang-Xiandao,high1273,
torr1260,Tor,tora1268,
tivo1238,Tivoid,tivo1239,
dard1241,Dardic,indo1324,
kali1302,Kalinga,kali1311,
nort2834,North and Central Vanuatu,nort3195,
cent2115,Central and Western,nucl1709,
kama1368,Kamano-Yagaria,kama1374,
hani1247,Hanic,hani1250,
cent2023,Central Gur,cent2243,
piho1245,Pihom,mada1298,
east2512,Eastern East New Guinea Highlands,kain1274,
tafr1238,Tafresh,sout3177,
cana1266,Canaanite,cana1267,
nort2879,Northeastern Luzon,nort3187,
cent1380,Central Loloish,lolo1266,
idom1258,Idoma-Yala,etul1244,
fore1269,Fore-Gimi,goro1272,
baga1269,Baga,atla1278,
uncl1427,Unclassified Indo-Aryan,uncl1467,
mala1461,Malayalamic,tami1295,
east2436,East Indonesian,east2743,
bodi1250,Bodish,bodi1255,
east2274,Eastern Catalan,sout3183,
viti1242,Vitiaz,viti1243,
sout2802,Southwestern Benue-Congo Plateau B,alum1249,
motu1238,Motu based pidgin,pidg1250,
lama1272,Lamamic,lama1291,
ghot1242,Ghotuic,nort3182,
piho1244,Pihom-Isumrud-Mugil,mada1298,
cent2014,Central Iwaidjic,cent2228,
pers1246,Persian,fars1255,
narr1276,Narrow Bantu B,narr1281,
east2634,East Chadic B B.3,east2633,
indo1312,Indo-Aryan Central zone,indo1322,
lowg1238,Low German,west2793,
kher1244,Kherwari,mund1336,
nort3095,Northeastern Aramaic,cent2217,
sout2847,Southeast Borneo Malay,sout3190,
pidg1238,Pidgin,pidg1250,
