ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,LL_Code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
konz1239,Konzo,Africa,0.32395,29.8696,konz1239,koo,koo,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238,atla1278,Atlantic-Congo,konz1239,Konzo,language,not endangered
ekis1238,Ekisongoora,Africa,,,ekis1238,,nnb-eki,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
tang1344,Tangi,Africa,,,tang1344,,nnb-tan,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
nucl1392,Nuclear Nande,Africa,,,nucl1392,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
kumb1271,Kumbule,Africa,,,kumb1271,,nnb-kum,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
mate1257,Mate,Africa,,,mate1257,,nnb-mat,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
swag1238,Swaga,Africa,,,swag1238,,nnb-swa,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
shuu1237,Shu,Africa,,,shuu1237,,nnb-shu,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
yira1240,Yira,Africa,,,yira1240,,nnb-yir,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/nand1264,atla1278,Atlantic-Congo,nand1264,Nande,dialect,
sanz1246,Sanza,Africa,,,sanz1246,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/konz1239,atla1278,Atlantic-Congo,konz1239,Konzo,dialect,
ruko1238,Rukonjo,Africa,,,ruko1238,,koo-ruk,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2842/konz1238/konz1239,atla1278,Atlantic-Congo,konz1239,Konzo,dialect,
nyan1318,Nyanza Mara,,,,nyan1318,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750,atla1278,Atlantic-Congo,,,family,
sugu1245,Suguti,,,,sugu1245,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750,atla1278,Atlantic-Congo,,,family,
nort3227,North Mara,,,,nort3227,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318,atla1278,Atlantic-Congo,,,family,
sout3201,South Mara,,,,sout3201,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318,atla1278,Atlantic-Congo,,,family,
unun9920,Unclassified Mara,,,,unun9920,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318,atla1278,Atlantic-Congo,,,family,
